sourceid,title,type,issn,publisher,country,region,categories,areas,field,rank,sjr,sjr_best_quartile,h_index,total_docs_2024,total_docs_3years,total_refs,total_citations_3years,citable_docs_3years,citations_doc_2years,ref_doc,female,overton,sdg,coverage,open_access,open_access_diamond,vn_professor_council
# Ngành CNTT
it_001,Acta Mathematica Vietnamica,Journal,0251-4184,Viện Hàn lâm KH&CN Việt Nam,Vietnam,Asia,Mathematics,STEM,IT,,,,,,,,,,,,,,,1970-2025,false,false,true
it_002,An toàn thông tin (Chuyên san Nghiên cứu KH&CN),Journal,2615-9570,Ban Cơ yếu Chính phủ,Vietnam,Asia,Information Security,STEM,IT,,,,,,,,,,,,,,,2015-2025,false,false,true
it_003,Công nghệ Thông tin & Truyền thông,Journal,1859-3526,Bộ KH&CN,Vietnam,Asia,ICT,Engineering,IT,,,,,,,,,,,,,,,2010-2025,false,false,true
it_004,VNU Journal of Science: Computer Science and Communications Engineering,Journal,2615-9260;2588-1086;0866-8612,ĐHQGHN,Vietnam,Asia,Computer Science,STEM,IT,,,,,,,,,,,,,,,2010-2025,false,false,true
it_005,Journal on Electronics and Communications,Journal,1859-378X,Hội Vô tuyến Điện tử Việt Nam,Vietnam,Asia,Electronics,Engineering,IT,,,,,,,,,,,,,,,2010-2025,false,false,true
it_006,Journal on Information Technologies & Communications,Journal,1859-3534,Bộ KH&CN,Vietnam,Asia,ICT,Engineering,IT,,,,,,,,,,,,,,,2010-2025,false,false,true
it_007,Khoa học Công nghệ Thông tin và Truyền thông,Journal,2525-2224,Học viện Công nghệ BCVT,Vietnam,Asia,ICT,Engineering,IT,,,,,,,,,,,,,,,2015-2025,false,false,true
it_008,Khoa học và Công nghệ - Vietnam Journal of Science and Technology,Journal,2525-2518;2815-5874;0866-708X,Viện Hàn lâm KH&CN Việt Nam,Vietnam,Asia,Science,STEM,IT,,,,,,,,,,,,,,,2010-2025,false,false,true
it_009,Khoa học và Kỹ thuật (Chuyên san CNTT-TT),Journal,1859-0209,Học viện Kỹ thuật Quân sự,Vietnam,Asia,Engineering,STEM,IT,,,,,,,,,,,,,,,2010-2025,false,false,true
it_010,Phát triển Khoa học và Công nghệ,Journal,1859-0128,ĐHQG TP.HCM,Vietnam,Asia,Science,STEM,IT,,,,,,,,,,,,,,,2010-2025,false,false,true
it_011,Tin học và Điều khiển học - Journal of Computer Science and Cybernetics,Journal,1813-9663,Viện Hàn lâm KH&CN Việt Nam,Vietnam,Asia,Computer Science,STEM,IT,,,,,,,,,,,,,,,2010-2025,false,false,true
