"opportunity_id","opportunity_number","opportunity_title","opportunity_status","agency_code","category","category_explanation","post_date","close_date","close_date_description","archive_date","is_cost_sharing","expected_number_of_awards","estimated_total_program_funding","award_floor","award_ceiling","additional_info_url","additional_info_url_description","opportunity_assistance_listings","funding_instruments","funding_categories","funding_category_description","applicant_types","applicant_eligibility_description","agency_name","top_level_agency_name","agency_contact_description","agency_email_address","agency_email_address_description","is_forecast","forecasted_post_date","forecasted_close_date","forecasted_close_date_description","forecasted_award_date","forecasted_project_start_date","fiscal_year","created_at","updated_at","url","summary_description"
"77242ec4-56ad-4784-84ca-066b30d01fae","BAA-AFRL-AFOSR-2016-0008","Air Force Defense Research Sciences Conference and Workshop Support","posted","DOD-AFOSR","discretionary","","2016-07-22","2026-03-26","","","False","200","","1","1000000","http://www.wpafb.af.mil/Welcome/Fact-Sheets/Display/Article/842050","AFOSR OTHER FUNDING OPPORTUNITIES","12.800|Air Force Defense Research Sciences Program","cooperative_agreement;grant","science_technology_and_other_research_and_development","","nonprofits_non_higher_education_without_501c3;nonprofits_non_higher_education_with_501c3;public_and_state_institutions_of_higher_education;other;private_institutions_of_higher_education","Only some organizations are eligible to submit proposals for conference or workshop support. We can consider conference or workshop funding requests from U.S. institutions of higher education (IHE) or nonprofit organizations as described in 2 CFR 25.345, including foreign public entities and foreign organizations operated primarily for scientific, educational, service, charitable, or similar purposes in the public interest. Conference or workshop funding support is not available to commercial organizations. DoD Instruction 5410.20, “Public Affairs Relations with Business and Nongovernmental Organizations Representing Business” prohibits co-sponsorship of conferences and workshops with commercial concerns.","Air Force Office of Scientific Research","Department of Defense","Jennifer Brown
Procurement Analyst","afosr.baa@us.af.mil","BAA email","False","","","","","","","2016-07-22 14:26:30+00:00","2026-03-25 19:01:46+00:00","https://simpler.grants.gov/opportunity/77242ec4-56ad-4784-84ca-066b30d01fae","<p>Broad Agency Announcement FA955025S0001 and BAA-AFRL-AFOSR-2016-0008 are closed as of 23 March 2026 due to a new mandatory review process, as required by Executive Order 14332 Improving Oversight of Federal Grantmaking – March 2026. The upcoming Open BAA will be posted at a date later to be determined. </p><p>&nbsp;</p><p><strong style=""background-color: yellow;"">ATTENTION ALL GRANTEES</strong>: If you submitted your proposal to BAA FA955025S0001 and BAA-AFRL-AFOSR-2016-0008 during the dates <strong>18 March 2026 – 23 March 2026</strong>, you must resubmit your proposal to the upcoming Open BAA. The new Open BAA will ensure that all Department of the Air Force (DAF) assistance awards align with Department of War (DoW) priorities, serve the national interest, and adhere to applicable laws and regulations.</p><p><br></p><p><br></p><p><br></p><p>The Air Force Office of Scientific Research manages the basic research investment for the U.S. Air Force. Conferences and workshops constitute key forums for research and technology interchange. We provide partial support for conferences and workshops as defined in the DoD Joint Travel Regulations in special areas of science that bring experts together to discuss recent research or educational findings, or to expose other researchers or advanced graduate students to new research and educational techniques in our areas of research interest. Our research interests are described in the most recent version of our general Broad Agency Announcement titled, “Research Interests of the Air Force Office of Scientific Research” posted on Grants.gov. We can only consider funding requests from U.S. institutions of higher education (IHE) or nonprofit organizations as described in 2 CFR 25.345, including foreign public entities and foreign organizations operated primarily for scientific, educational, service, charitable, or similar purposes in the public interest. We do not award grants to organizations with a for-profit organization type. Our support for a workshop or conference is not an endorsement of any organization.Our financial support through grants for conferences and workshops is dependent on the availability of funds, Program Officer’s discretion, and certain other restrictions as described in the full announcement.</p>"
"ca2f980d-ecba-45f8-ae68-2c49eda57b92","AC-01-30-26","Fiscal Year (FY) 2026 AmeriCorps Seniors RSVP Competition","posted","AC","discretionary","","2026-01-30","2026-03-26","","2026-04-25","True","","","","","https://www.americorps.gov/funding-opportunity/fiscal-year-fy-2026-americorps-seniors-rsvp-opportunity","Full competition information and resources","94.002|AmeriCorps Seniors Retired and Senior Volunteer Program (RSVP) 94.002","grant","community_development;consumer_protection;disaster_prevention_and_relief;education;employment_labor_and_training;environment;food_and_nutrition;health;housing;income_security_and_social_services;other","Economic Opportunity, Veterans and Military Families","nonprofits_non_higher_education_without_501c3;private_institutions_of_higher_education;county_governments;other_native_american_tribal_organizations;other;special_district_governments;state_governments;city_or_township_governments;nonprofits_non_higher_education_with_501c3;federally_recognized_native_american_tribal_governments","State Service Commision and/or States and US TerritoriesFor the category of private institutions of higher education, only non-profit institutions of higher education are eligible.","AmeriCorps","AmeriCorps","RSVPCompetition@americorps.gov","RSVPCompetition@americorps.gov","Competition Inbox","False","","","","","","","2026-01-30 22:12:38+00:00","2026-01-30 22:38:09+00:00","https://simpler.grants.gov/opportunity/ca2f980d-ecba-45f8-ae68-2c49eda57b92","<p>AmeriCorps improves lives, strengthens communities, and fosters civic engagement through service and volunteering. AmeriCorps brings people together to tackle some of the country’s most pressing challenges through national service and volunteerism. AmeriCorps members and AmeriCorps Seniors volunteers serve with organizations dedicated to the improvement of communities and those serving. AmeriCorps helps make service a cornerstone of our national culture.&nbsp;This funding announcement is an opportunity for communities to apply for funding to engage adults ages 55 and older in tackling the community’s most pressing needs through the AmeriCorps Seniors RSVP program. This is an open competition across all states and territories.&nbsp;</p>"
"4e3834d0-66d9-4987-a14b-0fd468756e1a","G26AS00002","Groundwater and Streamflow Information Program, National Ground-Water Monitoring Network","posted","DOI-USGS1","discretionary","","2026-01-30","2026-03-26","Electronically submitted applications must be submitted no later than 4:00 p.m., ET, on the listed application due date.","2026-04-25","False","20","900000","5000","300000","","","15.980|National Ground-Water Monitoring Network","cooperative_agreement","natural_resources","","city_or_township_governments;federally_recognized_native_american_tribal_governments;county_governments;state_governments;special_district_governments","Applicant eligibility:Applicants can be State, federally recognized Native American Tribal governments, or local water-resource agencies which collect groundwater data. State government agencies that are part of a public university system are eligible to apply under the University authority. Federal agencies are not eligible to apply for NGWMN Cooperative Agreements funding. Funds from the projects cannot be distributed to Federal agencies to act as a contractor. Agencies that are partnering with the local USGS Water Science Center to collect water-level or water-quality data as part of a Cooperative Matching Funds project are considered current data providers and are eligible for funding under Objectives 3-6 to enhance the NGWMN. Discussion and coordination with USGS NGWMN staff are encouraged; however, USGS personnel are prohibited from helping an organization directly prepare its application for competitive funding.Agencies cannot propose work under Objectives 4, 5, or 6 in a proposal to become a new data provider (Objective 1).Proposal eligibility:The following items will result in a proposal or work under the related objective being deemed ineligible:Objectives that are missing detailed budgetsProposals from data providers working with a local USGS Cooperative Matching Funds project to collect groundwater data that are missing a letter of support from the local USGS Water Science CenterProposals with a funding request that exceeds award limitsObjectives that contract with U.S. Government agencies to perform workExcluded Parties: USGS conducts a review of the SAM.gov Exclusions database for all applicant entities and their key project personnel prior to award.  USGS cannot award funds to entities or their key project personnel identified in the SAM.gov Exclusions database as ineligible, prohibited/restricted or otherwise excluded from receiving Federal contracts, certain subcontracts, and certain Federal assistance and benefits, as their ineligibility condition applies to this Federal program.The following proposals are ineligible for consideration under this Announcement:Proposals from U.S. Government agencies or U.S. Government employeesProposals from Federally Funded Research and Development Centers (FFRDC)Proposals principally involving the direct procurement of a product, equipment, or service not used for data collection","Geological Survey","Department of the Interior","Sara Roser
sroser@usgs.gov","sroser@usgs.gov","sroser@usgs.gov","False","","","","","","","2026-01-30 17:04:26+00:00","2026-01-30 17:04:26+00:00","https://simpler.grants.gov/opportunity/4e3834d0-66d9-4987-a14b-0fd468756e1a","The Groundwater and Streamflow Information Program of the USGS is offering a cooperative agreement funding opportunity to States, federally recognized Native American Tribal governments, or local water-resources agencies that collect groundwater data to participate in the National Ground-Water Monitoring Network. The USGS is working to develop and administer the National Ground-Water Monitoring Network (NGWMN). This funding opportunity is to support data providers for the National Ground-Water Monitoring Network.Legal authority for this opportunity is provided under Public Law 111-11, Subtitle F—Secure Water: Section 9507 ""Water Data Enhancement by the United States Geological Survey,"" as amended in 2024 by Public Law 118-174. Funds will be used to support connecting new data providers to the Network and to support existing data providers to maintain persistent data service and to enhance the NGWMN.The funding available for this Program Announcement is expected to be up to $900,000 for Federal FY2026. This estimate does not bind the USGS to a specific number of awards or to the amount of any individual award. Congress has not yet provided full-year FY2026 funding for USGS, so awards cannot be made until that funding is appropriated. Work performance under these awards must be completed within the two-year cycle from the start date. The timing of funds availability and the signing of the award will determine the start date. Individual applications are restricted to a funding level of $150,000 for a one-year project or $300,000 for a two-year project. Funding for routine work under Objective 2A to maintain persistent data services is limited to $20,000 per year. However, agencies serving more than 500 sites can apply for up to $40,000 per year for Objective 2A work. Substantial involvement of the USGS is anticipated to provide support to new data providers during the site selection and classification process and to establish web services that interact with the NGWMN Data Portal. USGS will provide guidance to existing data providers on techniques for collection of site information, on well maintenance activities, and on well drilling to support development of the NGWMN. Therefore, these awards will be in the form of cooperative agreements.All projects must propose a start date between September 1, 2026, and September 30, 2026.Please see Program Overview for more details."
"be11b04b-43ee-4d14-8d37-5e7158a7eb08","FA955025S0001","Research Interests of the Air Force Office of Scientific Research","posted","DOD-AFOSR","discretionary","","2025-05-20","2026-03-26","","2028-06-17","False","9999","","0","10000000","","","12.800|Air Force Defense Research Sciences Program","procurement_contract;cooperative_agreement;grant;other","science_technology_and_other_research_and_development","","other","See Announcement","Air Force Office of Scientific Research","Department of Defense","Jennifer Brown
Procurement Analyst","afosr.baa@us.af.mil","BAA POC","False","","","","","","","2025-05-20 18:21:01+00:00","2026-03-25 19:06:40+00:00","https://simpler.grants.gov/opportunity/be11b04b-43ee-4d14-8d37-5e7158a7eb08","<p>Broad Agency Announcement FA955025S0001 is closed as of 23 March 2026 due to a new mandatory review process, as required by Executive Order 14332 Improving Oversight of Federal Grantmaking – March 2026. The upcoming Open BAA will be posted at a date later to be determined.</p>
<p><strong style=""background-color: yellow;"">ATTENTION ALL GRANTEES</strong>: If you submitted your proposal to BAA FA955025S0001 during the dates <strong>18 March 2026 – 23 March 2026</strong>, you must resubmit your proposal to the upcoming Open BAA. The new Open BAA will ensure that all Department of the Air Force (DAF) assistance awards align with Department of War (DoW) priorities, serve the national interest, and adhere to applicable laws and regulations.</p>
<p><br></p>
<p><br></p>
<p><span style=""color: rgb(27, 27, 27);"">AFOSR plans, coordinates, and executes the Air Force Research Laboratory’s (AFRL) basic research program in response to technical guidance from AFRL and requirements of the Air Force. Additionally, the office fosters, supports, and conducts research within Air Force, university, and industry laboratories; and ensures transition of research results to support U.S. Air Force needs. The focus of AFOSR is on research areas that offer significant and comprehensive benefits to our national war fighting and peacekeeping capabilities. These areas are organized and managed in two scientific Departments: Engineering and Information Science (RTA), Physical and Biological Sciences (RTB), and our international offices (EAORD, SOARD, and AOARD). The research activities managed within each Department are summarized in this section.</span></p>"
"3c361922-30e8-4d25-a270-bf2fa7b92c66","DE-FOA-0003472","Next-Generation Geothermal Field Tests and Geothermal Resource Characterization and Confirmation","posted","DOE-GFO","discretionary","","2026-02-25","2026-03-27","","2026-04-26","True","40","171500000","1000000","25000000","https://eere-exchange.energy.gov","EERE Funding Opportunity Exchange","81.087|Renewable Energy Research and Development","cooperative_agreement","energy","","unrestricted","","Golden Field Office","Department of Energy","Amber A. Walls 720-661-5458
amber.walls@ee.doe.gov
 Angel Daniel Nieto 240-562-1448
angel.nieto@ee.doe.gov","amber.walls@ee.doe.gov","Click to email contact","False","","","","","","","2026-02-25 14:12:57+00:00","2026-03-20 15:33:32+00:00","https://simpler.grants.gov/opportunity/3c361922-30e8-4d25-a270-bf2fa7b92c66","This NOFO targets field-scale tests at depths and temperatures appropriate for full-scale project development. These tests are intended to support research and development (R&D), testing, and evaluation of next-generation development technologies and approaches, and the applicability of those approaches in select real-world conditions. Additionally, this NOFO targets exploration drilling activities required to gather data to support the characterization and potential confirmation of promising next generation and hydrothermal prospects for electrical power production. These projects will directly support the DOE’s emphasis on learning-by-doing and helping to identify and focus R&D priorities. In the end, the knowledge gained from these tests will support future funding decisions regarding the development approach and the location for development.

Strategic goals for this NOFO are derived from the GeoVision Roadmap, and GTO’s Multi-Year Program Plan (MYPP)."
"4a25e2d4-b3a3-40fd-8fee-1025ee6f82d1","26JD06","New Jail Planning Initiative","posted","USDOJ-BOP-NIC","other","Revision of the Jail and Justice System material.  This will also include pilot testing the new material and final editing of all the drafts.  Conduct New Jail Planning Initiative programs and technical assistance.","2026-03-12","2026-03-27","","","False","1","350000","0","350000","","","16.601|Corrections Training and Staff Development","cooperative_agreement","other","Revision of the Jail and Justice System material.  This will also include pilot testing the new material and final editing of all the drafts.  Conduct New Jail Planning Initiative programs and technical assistance.","other","THIS IS NOT A REQUEST FOR APPLICATIONS.  This announcement is to provide notice of NIC's continuation of Cooperative Agreement award 23JD13GLP1.","National Institute of Corrections","Department of Justice","Cameron D Coblentz
Grant Management Specialist
Phone 202-514-0053","ccoblentz@bop.gov","Form and application information","False","","","","","","","2026-03-12 15:00:15+00:00","2026-03-12 18:08:28+00:00","https://simpler.grants.gov/opportunity/4a25e2d4-b3a3-40fd-8fee-1025ee6f82d1","<p>THIS IS NOT A REQUEST FOR APPLICATIONS.&nbsp;This announcement is to provide notice of NIC's continuation of Cooperative Agreement award 23JD13GLP1.</p>"
"87c4e3de-055d-4d5e-8f18-be6b2f026168","26CS05","Sustaining Implementation of Organizational Resources to Support Behavior Change","posted","USDOJ-BOP-NIC","other","to develop and implement sustainment plans necessary to support leadership alignment, infrastructure, and skill development to ensure the Organizational Resources to Support Behavior Change are embedded in the organization and sustainable.","2026-03-12","2026-03-27","","","False","1","200000","0","200000","","","16.603|Corrections Technical Assistance/Clearinghouse","cooperative_agreement","other","To develop and implement sustainment plans necessary to support leadership alignment, infrastructure, and skill development to ensure the Organizational Resources to Support Behavior Change are embedded in the organization and sustainable.","other","THIS IS NOT A REQUEST FOR APPLICATIONS.  This announcement is to provide notice of NIC's continuation of Cooperative Agreement award 25CS06GLV5.","National Institute of Corrections","Department of Justice","Cameron D Coblentz
Grant Management Specialist
Phone 202-514-0053","ccoblentz@bop.gov","Form and application information","False","","","","","","","2026-03-12 14:50:51+00:00","2026-03-12 18:05:35+00:00","https://simpler.grants.gov/opportunity/87c4e3de-055d-4d5e-8f18-be6b2f026168","<p>THIS IS NOT A REQUEST FOR APPLICATIONS.&nbsp;This announcement is to provide notice of NIC's continuation of Cooperative Agreement award 25CS06GLV5.</p>"
"70ba926f-9e94-4d88-b628-083a7b0580a6","VA-NCA-VLGP-FY2026","Veterans Legacy Grants Program","posted","VA-VLGP","discretionary","","2026-02-25","2026-03-27","5:00 pm Eastern Time","2026-07-01","False","10","2200000","50000","400000","https://www.cem.va.gov/legacy/grants.asp","Veterans Legacy Grants Program","64.204|Veterans Legacy Grants Program","grant","other","Veterans Legacy Grants Program","state_governments;private_institutions_of_higher_education;independent_school_districts;public_and_state_institutions_of_higher_education;nonprofits_non_higher_education_with_501c3","Eligible recipient (or entity)  means one of the following:
(1) An institution of higher learning;
(2) A local educational agency;
(3) A non-profit entity that the Secretary determines has a demonstrated history of community engagement that pertains to the projects described in the relevant NOFO;
(4) An educational institution; or
(5) Another recipient (or entity) the Secretary deems appropriate.

See definition of eligible recipient (or entity) at 38 C.F.R. 38.715(c).","Veterans Legacy Grants Program","Department of Veterans Affairs","John Williams
Senior Grants Management Specialist","VLGP@va.gov","Veterans Legacy Grants Program","False","","","","","","","2026-02-25 18:22:03+00:00","2026-02-25 18:22:03+00:00","https://simpler.grants.gov/opportunity/70ba926f-9e94-4d88-b628-083a7b0580a6","<p>The Department of Veterans Affairs (VA) National Cemetery Administration (NCA) is awarding grants up to a maximum of $400,000 per recipient through the Veterans Legacy Grants Program (VLGP). Grant recipients would provide tools for the public to learn about the histories of Veterans interred in national cemeteries and state, territorial, and Tribal Veterans cemeteries. There is special interest in highlighting the histories of Veterans who have significant connections to their local communities. These grants support the President’s priority to recognize that our nation’s security, prosperity, and freedom would not be possible without our Veterans and, as demonstrated in <a href=""https://www.whitehouse.gov/presidential-actions/2025/05/keeping-promises-to-veterans-and-establishing-a-national-center-for-warrior-independence/"" target=""_blank"">Executive Order 14296 - Keeping Promises to Veterans and Establishing a National Center for Warrior Independence</a>, that each veteran deserves our gratitude. These legacy grants ensure that Veterans are remembered for their sacrifices.</p>"
"2b0aea3d-4706-4508-8a8f-ae605d033e0d","CMS-2V2-26-001","Nursing Home Staffing Campaign","posted","HHS-CMS","discretionary","","2026-02-09","2026-03-27","","2026-04-26","False","15","80000000","1760000","20000000","","","93.693|Nursing Home Staffing Campaign","cooperative_agreement","health","","nonprofits_non_higher_education_without_501c3;public_and_state_institutions_of_higher_education;private_institutions_of_higher_education;nonprofits_non_higher_education_with_501c3","Small nonprofit businesses
Faith-based organizations that meet the eligibility requirements
National associations for nursing schools
National associations for nurses
National associations for nursing students","Center for Medicare and Medicaid Services","Department of Health and Human Services","NHSC@cms.hhs.gov","NHSC@cms.hhs.gov","NHSC@cms.hhs.gov","False","","","","","","","2026-02-09 20:29:06+00:00","2026-02-09 20:29:06+00:00","https://simpler.grants.gov/opportunity/2b0aea3d-4706-4508-8a8f-ae605d033e0d","<p>The Centers for Medicare &amp; Medicaid Services (CMS) is committed to improving safety and quality of care in the nation’s nursing homes. Nursing home staffing is a critical factor for improving care for nursing home residents.&nbsp;</p><p><br></p><p>However, some nursing homes struggle to hire enough nursing staff to meet each resident’s needs. Additionally, state survey agencies, which are responsible for inspecting nursing homes for compliance with federal regulations, have also had challenges hiring nurses to conduct these inspections. The Nursing Home Staffing Campaign (NHSC) is aimed at increasing the availability of nurses to work in the nursing home environment, such as in qualifying nursing homes or in an oversight capacity for a state inspection agency.</p><p><br></p><p>This Notice of Funding Opportunity (NOFO) is focused on helping to recruit registered nurses (RNs) and licensed practical nurses or licensed vocational nurses (LPNs) to work in nursing homes by offering financial incentives. Through this NOFO, CMS is accepting applications for cooperative agreements to entities that will administer financial incentives, such as loan repayment and stipends to RNs and LPNs, to work for three years in a qualifying nursing home or in an oversight role with a state agency.</p>"
"aa171b5d-4a5a-4ef9-8213-a1ecca1377aa","26CS04","Structured Decision-Making Framework Implementation Project","posted","USDOJ-BOP-NIC","other","To provide assistance to State paroling authorities to implement and use the structured decision making framework (SDMF) tool in making parole release decisions from prisons.","2026-03-12","2026-03-27","","","False","1","200000","0","200000","","","16.601|Corrections Training and Staff Development","cooperative_agreement","other","To provide assistance to State paroling authorities to implement and use the structured decision making framework (SDMF) tool in making parole release decisions from prisons.","other","THIS IS NOT A REQUEST FOR APPLICATIONS.  This announcement is to provide notice of NIC's continuation of Cooperative Agreement award 24CS07GLUO.","National Institute of Corrections","Department of Justice","Cameron D Coblentz
Grant Management Specialist
Phone 202-514-0053","ccoblentz@bop.gov","Form and application information","False","","","","","","","2026-03-12 14:55:20+00:00","2026-03-12 18:11:33+00:00","https://simpler.grants.gov/opportunity/aa171b5d-4a5a-4ef9-8213-a1ecca1377aa","<p>THIS IS NOT A REQUEST FOR APPLICATIONS.&nbsp;This announcement is to provide notice of NIC's continuation of Cooperative Agreement award 24CS07GLUO.</p>"
