_key,acronym,name,location,city,country,country_code,continent,deadline,start_date,topics,url,cfp_text,crawl_source,hash,status
NEU012026_2026-02-01,NEU012026,Bridging the gap - Meeting the needs of today's businesses,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-02-01,"business,enterprise,management",https://neu.edu.vn,,neu,1a3f6b7d9a1c2e4f8d1e2c3b4a5f6789,pending
NEU022026_2026-02-01,NEU022026,Kinh tế Việt Nam năm 2025 và Triển vọng năm 2026 - Công bố ấn phẩm Đánh giá kinh tế Việt Nam thường niên 2025,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-02-01,"economics,vietnam,macro",https://neu.edu.vn,,neu,2b4f6c8d9a2e3f5a7b1c2d3e4f6a7890,pending
NEU032026_2026-04-01,NEU032026,Hệ thống cơ sở lý luận và thực tiễn hoàn thiện thể chế xây dựng và quản trị dữ liệu số quốc gia,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-04-01,"data,governance,digital",https://neu.edu.vn,,neu,3c5f7d9a1b2c3d4e5f6a7b8c9d0e1234,pending
NEU042026_2026-04-01,NEU042026,Định hình cơ chế Sandbox cho Trung tâm Tài chính quốc tế TP.HCM (VIFC-HCMC),"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-04-01,"fintech,sandbox,finance",https://neu.edu.vn,,neu,4d6f8a1b2c3d4e5f6a7b8c9d0e1f2345,pending
NEU052026_2026-04-01,NEU052026,Quản trị quốc gia và đào tạo nhân lực quản lý trong kỷ nguyên mới,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-04-01,"governance,hr,management",https://neu.edu.vn,,neu,5e7f9b1c2d3e4f5a6b7c8d9e0f1a3456,pending
NEU062026_2026-04-01,NEU062026,Cơ chế, chính sách hội nhập quốc tế về khoa học công nghệ và đổi mới sáng tạo: Lý thuyết và kinh nghiệm quốc tế,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-04-01,"innovation,policy,technology",https://neu.edu.vn,,neu,6f8a1c2d3e4f5a6b7c8d9e0f1a2b4567,pending
NEU072026_2026-05-01,NEU072026,Chuyển đổi kép trong phát triển kinh tế bền vững: Mô hình và chính sách,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-05-01,"green,digital,economy",https://neu.edu.vn,,neu,7a9b1c2d3e4f5a6b7c8d9e0f1a2b5678,pending
NEU082026_2026-05-01,NEU082026,Tái thiết hệ thống thông tin trong kỷ nguyên AI: Động lực cho phát triển kinh tế số,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-05-01,"ai,information,data",https://neu.edu.vn,,neu,8b1c2d3e4f5a6b7c8d9e0f1a2b3c6789,pending
NEU092026_2026-05-01,NEU092026,Phát triển nhân lực đáp ứng mục tiêu tăng trưởng kinh tế cao của Việt Nam đến năm 2030, tầm nhìn đến năm 2045,"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-05-01,"labor,workforce,economy",https://neu.edu.vn,,neu,9c2d3e4f5a6b7c8d9e0f1a2b3c4d7890,pending
NEU102026_2026-06-01,NEU102026,Innovation and Management in the Global Society (CIM 2026),"Đại học Kinh tế quốc dân, Vietnam",Hanoi,Vietnam,VN,Asia,,2026-06-01,"innovation,management,global",https://neu.edu.vn,,neu,a1d3e4f5a6b7c8d9e0f1a2b3c4d8901,pending
